frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,gaze_timestamp_unix,gaze_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total
1,1758757940.099823,2025-09-24T23:52:20.099+00:00,0.200000,,,0.011022,0.036035,0.296649,0,281,281,1758757940.094464,0.005359,1758757940.196357,-0.096534,29.925514,0,27
2,1758757940.396879,2025-09-24T23:52:20.396+00:00,0.200000,0.297056,0.097056,0.113186,0.123761,0.026105,0,288,288,1758757940.327864,0.069015,1758757940.401602,-0.004723,30.016018,0,27
3,1758757940.482702,2025-09-24T23:52:20.482+00:00,0.200000,0.085823,-0.114177,0.005985,0.019098,0.028445,0,292,292,1758757940.461231,0.021471,1758757940.526602,-0.043900,29.757553,0,27
4,1758757940.689976,2025-09-24T23:52:20.689+00:00,0.200000,0.207274,0.007274,0.005208,0.014453,0.006632,0,300,300,1758757940.727964,-0.037988,1758757940.796857,-0.106882,30.006244,0,27
5,1758757940.882474,2025-09-24T23:52:20.882+00:00,0.200000,0.192499,-0.007501,0.005704,0.014557,0.010769,0,306,306,1758757940.928019,-0.045545,1758757940.997124,-0.114650,30.010718,0,27
6,1758757941.114579,2025-09-24T23:52:21.114+00:00,0.200000,0.232105,0.032105,0.006178,0.032924,0.012448,0,312,312,1758757941.128075,-0.013495,1758757941.207357,-0.092778,29.952609,0,27
7,1758757941.287454,2025-09-24T23:52:21.287+00:00,0.200000,0.172873,-0.027127,0.007021,0.016250,0.020239,0,318,318,1758757941.328130,-0.040677,1758757941.397480,-0.110026,29.998722,0,27
8,1758757941.483945,2025-09-24T23:52:21.483+00:00,0.200000,0.196493,-0.003507,0.005663,0.015078,0.007927,0,324,324,1758757941.528186,-0.044241,1758757941.597613,-0.113667,30.005161,0,27
9,1758757941.689925,2025-09-24T23:52:21.689+00:00,0.200000,0.205979,0.005979,0.005564,0.016006,0.016713,0,330,330,1758757941.728242,-0.038317,1758757941.797868,-0.107944,30.007581,0,27
10,1758757941.886837,2025-09-24T23:52:21.886+00:00,0.200000,0.196911,-0.003089,0.006273,0.015183,0.020106,0,336,336,1758757941.928607,-0.041770,1758757941.997991,-0.111154,30.009147,0,27
11,1758757942.086603,2025-09-24T23:52:22.086+00:00,0.200000,0.199767,-0.000233,0.005860,0.015661,0.028083,0,342,342,1758757942.128662,-0.042059,1758757942.198235,-0.111632,29.976024,0,27
12,1758757942.307962,2025-09-24T23:52:22.307+00:00,0.200000,0.221358,0.021358,0.018959,0.064306,0.020338,0,347,347,1758757942.295373,0.012589,1758757942.383368,-0.075406,29.974829,0,27
13,1758757942.515736,2025-09-24T23:52:22.515+00:00,0.200000,0.207774,0.007774,0.021007,0.105292,0.022057,0,351,351,1758757942.428740,0.086996,1758757942.583613,-0.067877,29.655714,0,27
14,1758757942.698574,2025-09-24T23:52:22.698+00:00,0.200000,0.182838,-0.017162,0.007005,0.102293,0.019028,0,357,357,1758757942.628796,0.069778,1758757942.798746,-0.100173,29.933793,0,27
15,1758757942.903919,2025-09-24T23:52:22.903+00:00,0.200000,0.205345,0.005345,0.010465,0.095602,0.019533,0,364,364,1758757942.862195,0.041723,1758757942.999002,-0.095083,29.936285,0,27
16,1758757943.085074,2025-09-24T23:52:23.085+00:00,0.200000,0.181155,-0.018845,0.010981,0.082371,0.030733,0,370,370,1758757943.062251,0.022823,1758757943.174481,-0.089406,29.979731,0,27
17,1758757943.289075,2025-09-24T23:52:23.289+00:00,0.200000,0.204000,0.004000,0.012821,0.080287,0.028787,0,376,376,1758757943.262307,0.026768,1758757943.384725,-0.095650,29.958632,0,27
18,1758757943.495814,2025-09-24T23:52:23.495+00:00,0.200000,0.206739,0.006739,0.009168,0.052235,0.017870,0,383,383,1758757943.495696,0.000118,1758757943.594858,-0.099045,29.971714,0,27
19,1758757943.700043,2025-09-24T23:52:23.700+00:00,0.200000,0.204230,0.004230,0.012704,0.058461,0.020324,0,389,389,1758757943.695751,0.004292,1758757943.795114,-0.095071,29.989476,0,27
20,1758757943.885703,2025-09-24T23:52:23.885+00:00,0.200000,0.185660,-0.014340,0.012275,0.064130,0.024877,0,394,394,1758757943.862462,0.023241,1758757943.985236,-0.099533,29.968321,0,27
21,1758757944.100405,2025-09-24T23:52:24.100+00:00,0.200000,0.214703,0.014703,0.010090,0.052143,0.017162,0,401,401,1758757944.095862,0.004543,1758757944.200503,-0.100097,29.944986,0,27
22,1758757944.289997,2025-09-24T23:52:24.289+00:00,0.200000,0.189590,-0.010410,0.007987,0.045695,0.019252,0,407,407,1758757944.295918,-0.005921,1758757944.400614,-0.110617,29.986908,0,27
23,1758757944.505529,2025-09-24T23:52:24.505+00:00,0.200000,0.215533,0.015533,0.012951,0.022415,0.021609,0,414,414,1758757944.529318,-0.023788,1758757944.600858,-0.095329,29.931653,0,27
24,1758757944.702988,2025-09-24T23:52:24.702+00:00,0.200000,0.197459,-0.002541,0.011622,0.022470,0.024262,0,420,420,1758757944.729373,-0.026385,1758757944.805981,-0.102992,29.952596,0,27
25,1758757944.896922,2025-09-24T23:52:24.896+00:00,0.200000,0.193933,-0.006067,0.009171,0.019092,0.016186,0,426,426,1758757944.929805,-0.032883,1758757945.006125,-0.109203,29.952082,0,27
26,1758757945.100395,2025-09-24T23:52:25.100+00:00,0.200000,0.203474,0.003474,0.009717,0.019664,0.015265,0,432,432,1758757945.129861,-0.029465,1758757945.206370,-0.105974,30.007054,0,27
27,1758757945.292308,2025-09-24T23:52:25.292+00:00,0.200000,0.191913,-0.008087,0.007866,0.018030,0.022877,0,438,438,1758757945.329916,-0.037608,1758757945.396492,-0.104184,30.003272,0,27
28,1758757945.489061,2025-09-24T23:52:25.489+00:00,0.200000,0.196753,-0.003247,0.006753,0.016725,0.011192,0,444,444,1758757945.529961,-0.040900,1758757945.596736,-0.107676,30.195401,0,27
29,1758757945.694751,2025-09-24T23:52:25.694+00:00,0.200000,0.205690,0.005690,0.008288,0.018422,0.009599,0,450,450,1758757945.730016,-0.035265,1758757945.801870,-0.107119,30.055875,0,27
30,1758757945.896112,2025-09-24T23:52:25.896+00:00,0.200000,0.201361,0.001361,0.008191,0.052170,0.025828,0,455,455,1758757945.896727,-0.000615,1758757945.997125,-0.101013,29.995778,0,27
31,1758757946.091367,2025-09-24T23:52:26.091+00:00,0.200000,0.195255,-0.004745,0.007835,0.047955,0.023457,0,461,461,1758757946.096783,-0.005416,1758757946.186786,-0.095419,30.008088,0,27
32,1758757946.290347,2025-09-24T23:52:26.290+00:00,0.200000,0.198981,-0.001019,0.008221,0.017518,0.008154,0,468,468,1758757946.330183,-0.039835,1758757946.397041,-0.106694,30.004839,0,27
33,1758757946.500211,2025-09-24T23:52:26.500+00:00,0.200000,0.209864,0.009864,0.009372,0.018606,0.018578,0,474,474,1758757946.530238,-0.030027,1758757946.607164,-0.106952,29.964616,0,27
34,1758757946.695822,2025-09-24T23:52:26.695+00:00,0.200000,0.195610,-0.004390,0.007542,0.017732,0.024739,0,480,480,1758757946.730294,-0.034472,1758757946.802408,-0.106586,29.968148,0,27
35,1758757946.890085,2025-09-24T23:52:26.890+00:00,0.200000,0.194263,-0.005737,0.008069,0.017564,0.024862,0,486,486,1758757946.930350,-0.040265,1758757947.002541,-0.112457,30.001499,0,27
36,1758757947.089918,2025-09-24T23:52:27.089+00:00,0.200000,0.199833,-0.000167,0.006979,0.016498,0.024917,0,492,492,1758757947.130405,-0.040487,1758757947.197786,-0.107868,30.046150,0,27
37,1758757947.287568,2025-09-24T23:52:27.287+00:00,0.200000,0.197650,-0.002350,0.006989,0.015834,0.006967,0,498,498,1758757947.330461,-0.042892,1758757947.397919,-0.110351,30.112154,0,27
38,1758757947.489893,2025-09-24T23:52:27.489+00:00,0.200000,0.202325,0.002325,0.006903,0.015991,0.024011,0,504,504,1758757947.530516,-0.040623,1758757947.598164,-0.108271,30.321993,0,27
39,1758757947.692425,2025-09-24T23:52:27.692+00:00,0.200000,0.202533,0.002533,0.007964,0.018003,0.027369,0,510,510,1758757947.730572,-0.038146,1758757947.798297,-0.105871,30.056021,0,27
40,1758757947.891326,2025-09-24T23:52:27.891+00:00,0.200000,0.198901,-0.001099,0.007036,0.015948,0.023203,0,516,516,1758757947.930290,-0.038964,1758757947.998541,-0.107215,30.086488,0,27
41,1758757948.091537,2025-09-24T23:52:28.091+00:00,0.200000,0.200211,0.000211,0.006897,0.016877,0.022039,0,522,522,1758757948.130334,-0.038797,1758757948.193675,-0.102137,30.042929,0,27
42,1758757948.290261,2025-09-24T23:52:28.290+00:00,0.200000,0.198724,-0.001276,0.007819,0.016790,0.022022,0,528,528,1758757948.330390,-0.040129,1758757948.398919,-0.108658,30.064005,0,27
43,1758757948.492548,2025-09-24T23:52:28.492+00:00,0.200000,0.202286,0.002286,0.008015,0.016916,0.008915,0,534,534,1758757948.530446,-0.037898,1758757948.599052,-0.106505,30.023289,0,27
44,1758757948.704055,2025-09-24T23:52:28.704+00:00,0.200000,0.211507,0.011507,0.009485,0.018837,0.022131,0,540,540,1758757948.730501,-0.026446,1758757948.809297,-0.105242,30.001270,0,27
45,1758757948.887041,2025-09-24T23:52:28.887+00:00,0.200000,0.182987,-0.017013,0.007132,0.016528,0.009255,0,546,546,1758757948.930557,-0.043515,1758757948.994430,-0.107389,30.038942,0,27
46,1758757949.091812,2025-09-24T23:52:29.091+00:00,0.200000,0.204771,0.004771,0.006935,0.016928,0.022779,0,552,552,1758757949.130612,-0.038800,1758757949.199557,-0.107745,30.052152,0,27
47,1758757949.304822,2025-09-24T23:52:29.304+00:00,0.200000,0.213011,0.013011,0.006908,0.015812,0.015560,0,558,558,1758757949.330668,-0.025845,1758757949.394812,-0.089990,29.918716,0,27
48,1758757949.501695,2025-09-24T23:52:29.501+00:00,0.200000,0.196873,-0.003127,0.010033,0.019205,0.017954,0,564,564,1758757949.530723,-0.029028,1758757949.604934,-0.103239,30.061902,0,27
49,1758757949.700012,2025-09-24T23:52:29.700+00:00,0.200000,0.198317,-0.001683,0.009572,0.019296,0.020601,0,570,570,1758757949.730779,-0.030767,1758757949.805179,-0.105166,30.074119,0,27
50,1758757949.897485,2025-09-24T23:52:29.897+00:00,0.200000,0.197472,-0.002528,0.006942,0.015934,0.020111,0,576,576,1758757949.930834,-0.033349,1758757950.000312,-0.102827,29.985256,0,27
51,1758757950.089770,2025-09-24T23:52:30.089+00:00,0.200000,0.192285,-0.007715,0.009272,0.018314,0.010555,0,582,582,1758757950.130890,-0.041120,1758757950.200557,-0.110787,30.055808,0,27
52,1758757950.289168,2025-09-24T23:52:30.289+00:00,0.200000,0.199398,-0.000602,0.006947,0.015935,0.011092,0,588,588,1758757950.330945,-0.041777,1758757950.400690,-0.111522,30.048470,0,27
53,1758757950.497061,2025-09-24T23:52:30.497+00:00,0.200000,0.207893,0.007893,0.007231,0.016528,0.008788,0,594,594,1758757950.530990,-0.033928,1758757950.600945,-0.103884,30.027260,0,27
54,1758757950.702865,2025-09-24T23:52:30.702+00:00,0.200000,0.205804,0.005804,0.007405,0.017316,0.026327,0,600,600,1758757950.731045,-0.028181,1758757950.806068,-0.103203,30.091114,0,27
55,1758757950.898743,2025-09-24T23:52:30.898+00:00,0.200000,0.195878,-0.004122,0.007716,0.016583,0.022209,0,606,606,1758757950.930906,-0.032163,1758757951.006312,-0.107569,30.036602,0,27
56,1758757951.092355,2025-09-24T23:52:31.092+00:00,0.200000,0.193611,-0.006389,0.007729,0.016602,0.021634,0,612,612,1758757951.130961,-0.038606,1758757951.201445,-0.109090,30.029847,0,27
57,1758757951.298525,2025-09-24T23:52:31.298+00:00,0.200000,0.206171,0.006171,0.008817,0.018595,0.022238,0,618,618,1758757951.331017,-0.032492,1758757951.406690,-0.108165,30.038850,0,27
58,1758757951.493265,2025-09-24T23:52:31.493+00:00,0.200000,0.194740,-0.005260,0.007291,0.017135,0.010897,0,624,624,1758757951.531072,-0.037808,1758757951.601823,-0.108558,30.054328,0,27
59,1758757951.692088,2025-09-24T23:52:31.692+00:00,0.200000,0.198823,-0.001177,0.008871,0.017813,0.026125,0,630,630,1758757951.731128,-0.039040,1758757951.802068,-0.109979,30.069524,0,27
60,1758757951.896918,2025-09-24T23:52:31.896+00:00,0.200000,0.204830,0.004830,0.007759,0.017154,0.020332,0,636,636,1758757951.931184,-0.034266,1758757952.002201,-0.105283,30.007418,0,27
61,1758757952.098032,2025-09-24T23:52:32.098+00:00,0.200000,0.201114,0.001114,0.007980,0.017034,0.021551,0,642,642,1758757952.131239,-0.033207,1758757952.202855,-0.104823,30.001345,0,27
62,1758757952.297235,2025-09-24T23:52:32.297+00:00,0.200000,0.199203,-0.000797,0.007947,0.016929,0.021389,0,648,648,1758757952.331295,-0.034060,1758757952.402989,-0.105754,29.998741,0,27
63,1758757952.498744,2025-09-24T23:52:32.498+00:00,0.200000,0.201509,0.001509,0.009208,0.018174,0.011411,0,654,654,1758757952.531350,-0.032606,1758757952.608233,-0.109489,29.997444,0,27
64,1758757952.698061,2025-09-24T23:52:32.698+00:00,0.200000,0.199317,-0.000683,0.007303,0.016384,0.020277,0,660,660,1758757952.731406,-0.033345,1758757952.803366,-0.105305,30.025757,0,27
