frame_number,write_time_unix,sensor_timestamp_ns,dropped_since_last,total_hardware_drops
799,1760559546.925256,22233027051000,0,0
806,1760559546.969070,22233260282000,6,6
808,1760559547.092208,22233326920000,1,7
811,1760559547.119590,22233426879000,0,7
812,1760559547.275960,22233460192000,0,7
816,1760559547.315528,22233593467000,3,10
817,1760559547.359413,22233626783000,0,10
818,1760559547.464967,22233660105000,0,10
820,1760559547.472598,22233726734000,1,11
821,1760559547.592131,22233760059000,0,11
822,1760559547.687299,22233793377000,0,11
828,1760559547.917544,22233993290000,5,16
834,1760559547.963625,22234193203000,0,16
837,1760559548.154001,22234293154000,2,18
839,1760559548.264116,22234359796000,1,19
842,1760559548.314847,22234459747000,2,21
845,1760559548.421545,22234559706000,2,23
848,1760559548.674460,22234659671000,2,25
854,1760559548.780121,22234859566000,2,27
859,1760559548.939663,22235026159000,4,31
861,1760559549.066261,22235092794000,1,32
869,1760559549.077269,22235359344000,3,35
870,1760559549.207253,22235392664000,0,35
873,1760559549.330095,22235492619000,0,35
876,1760559549.442035,22235592573000,0,35
878,1760559549.602820,22235659205000,1,36
884,1760559549.674691,22235859119000,1,37
886,1760559549.807917,22235925763000,1,38
891,1760559550.003033,22236092351000,3,41
892,1760559550.352239,22236125670000,0,41
906,1760559550.407886,22236592127000,7,48
909,1760559550.676609,22236692074000,2,50
910,1760559551.177286,22236725394000,0,50
